text,class,sentiment,confidence
"Fantastic spot for an even or a quite cocktail.  They were swell to host the Yelp crew with a great drink menu and super attentive staff.I'd certainly recommend anything with the purred fruit in it (apple, any of them really)!
",1,positive,95.8
"Love, love, love the calamari. It's so good and spicy. There is an endless list of martinis and one is better than the next. There is a first and second floor, if you prefer more of a bar or lounge atmosphere. It's not a place I like for dinner, but for drinks and apps it's wonderful.
",1,positive,97.2
"Love this place. Stiff martinis and cocktails, cheap drinks, good service, nice atmosphere to chill in the upstairs lounge and hang up with your friends. Classy crowd and much more mature, older, and professional crowd. There aren't any of those college frat boys or belligerent drunks there, which is so great. Very nice place to wind down after a long day.
",1,positive,91.1
"It's everything a great cocktail bar should be.  Great location, ambiance, cocktails and chill environment.**Disclaimer:   5 stars doesn't have to mean it's New York City good. It is a simple place and it's not flashy by any means.   I'd take a girl for the beginning of a date or on the opposite end of the spectrum, talking business with colleagues.
",1,positive,92.9
"I came here before a pirates game, so it was around 5:30ish or so in the evening, we had just gotten lucky that they had a table open before all there reservations for the night started to come in.  I ordered the chicken jerk sandwich with a side salad, absolutely loved it!  The chicken had the perfect amount of spice to it which was off set with sweet with the pineapple chutney it had on it, sooo good!  The salad was even great because they used real green spring mix instead of iceburg lettuce.  I also loved that they put feta cheese on top, its one of my favorite cheeses for salad topping!  Service was great here and even though I didn't have a drink here that night I have a previous time and they are yummy!  Love this place and can't wait for my next visit!
",1,positive,99.5
"Olive or Twist is the historic site of my VERY FIRST MARTINI when I turned 21, many years ago.  It's been a long, happy union.While Olive or Twist is NOT a five star restaurant, it gets 5 stars from me because I love it.  Its one of the few places I know of that has been CONSISTANTLY good.  for years!  The interior is warm and a little bit industrial.  The downstairs is the same as it has always been and it's still very nice.The drinks are great although the first martini I ever had (a girl doesn't forget!  [well,this one didn't]) was a Pineapple Upside Down martini and I don't think they offer that anymore but they do have a very expansive martini menu.  I tried the chipotle martini and it was so excellent that when I took my first sip I sighed in a way my bf turned to me and sarcastically said, ""Oh, you're going to be Yelping about that, aren't you""  Then, I refused to let him even try it bc it was that good.  It was MINE.I also had a cake batter martini which tasted great and came out looking so pretty I instagrammed a picture of it and immediately all my friends clicked like on it, and my one aunt commented I should drink less.  Whatever. She needs a martini.The service was great.  Our waitress, Lauren, was really cool and very good at recommending the drinks--the chipotle martini was her recommendation, I would never had ordered that on my own.We had the buffalo chicken dip which was served in a martini glass and it was really good.My favorite thing on the menu there is the tomato basil bisque soup and it has been rocking my lunch hour for the past ten years.  It's delicious.  Its so good that Lauren and I actually high fived when she brought it out.  (true story.)My bf had the chicken caprese wrap and said it was excellent, it was gone within minutes so that is a good sign.I highly recommend this place for lunch, after dinner cocktails, or a date.  This is one of my favorite downtown lunch spots!
",1,positive,94.9
"A beautiful little bar with an exciting ""martini"" list - do step outside your comfort zone and try one of the crafted drinks.
",1,positive,87.9
"My favorite bar in town love the live music and the martinis - fave is the strawberry shortcake!
",1,positive,71.5
"The location is in a strip mall, but this place is a diamond in the rough.  The food was some of the best italian food I have had anywhere.  I live in Kansas City, which has a pretty large and long standing italian populaiton.  The food is a good as any of the old italian places in KC.  Everyone in my group was amazed at the quality of the food for the price.  I will keep this one on my list of places to come back to when I am in AZ again.
",1,positive,88.7
"THIS PLACE IS OPEN!The best food and the best service. Try the butter nut squash ravioli.  Fantastic
",1,positive,92.2
"We can't say enough good things about this place. The owner and wait staff were genuinely friendly and the food was great. I had the veal caprese and my wife had the canolone.  Both were exceptional and reasonably priced.  Unlike the chain Italian restaurants, the portions were reasonable instead of super-sized.  We were full but not stuffed when we finished.  We also brought our fourteen month old along.  They don't have a kids menu, so I can't call the restaurant ""family friendly,"" but everyone was really friendly to our family. The owner even stopped by once or twice to pinch our son's cheeks.  We live near by and are considering becoming regulars here.
",1,positive,79.3
"My husband and I want to give six stars!!!!  We've driven by this place for a year, and always talked about going in....SO sorry we waited so long!!!  Very pretty little place.  The service was great and very warm.  I had the butternut squash ravioli and in was in heaven for every single bite!!!  We will be back often and plan to take my daughter next time.  I don't think they have a kid's menu, but our server said they could do spaghetti and meatballs or fettucine with chicken.  Perfect.  Thank you Jennifer!!!  We loved it!!!  =)
",1,positive,78.1
"I'm still laughing reading poor Maribeth's review below; I think maybe her ex DID pay someone to play an awful joke on her.  Like drugging her and taking her to Wendy's and telling her she was at Salute.  This place is the best little neighborhood secret ever and I only hope everyone reads and believes Maribeth's review so I can still get a table on Friday nights without making a reservation.
",1,negative,74.8
"My husband and I have been here several times, both for large functions and on our own.  What we always notice is how attentive the wait staff is.  And they really seem to care about our dining experience.  Of the appetizers, we love the antipasto, stuff mushrooms and seafood salad.  The butternut squash ravioli is awesome, as is everything we've tried.  The strip mall location isn't particularly appealing, but the good food and excellent service will keep us coming back.
",1,positive,61.8
"Very, very good. Top notch calamari and scampi appetizers. Excellent garlic bread.Entrees were eggplant parm- great; lasagna- excellent; orange roughy with capers and artichokes-amazing and cheese tortellini with 4 cheese sauce- also great.Perfect service- a really on the ball waiter. Close to Hilton Tapatio  Cliffs too.Cozy place, nicely lit made you forget about the strip mall locale.
",1,positive,97.6
"Saturday night at Salutes is a real treat.  The live jazz duo sings quietly and adds to the ambience of this local gem.  The staff is always friendly and makes some reference to your last trip which makes you feel special.  And speaking of special...their chicken florentine special was mouth-watering.  I'm sure the bottle of Chianti helped...but just LOVED the experience.
",1,positive,58.8
"Went with family last night...loved it! Our server, Julie, was excellent- extremely friendly and attentive to our table. The stuffed mushroom and shrimp scampi appetizers were delicious...excellent for dipping the really good garlic bread in the sauces. :) My daughter said that the fettuccine alfredo (not on the menu, but offered) was the best she's ever tasted. The butternut squash ravioli was very rich (almost too rich) but quite tasty. The guys both got the crab and shrimp stuffed ravioli with walnut cream sauce (not on the regular menu)- both loved it!  It's a really great place for a special date or a quaint dinner with friends.
",1,positive,64.4
"I've been waiting to change from four stars to five and tonights dining experience did it.  The staff always makes us feel like one of their family and tonight was no different.  My eggplant parmesan was mouth-watering accompanied with their house Chianti.  Friday night live jazz always a pleasure.  Thanks, Julie, for noticing my hair...yours was adorable as well!  BTW...the place was packed...you may need a reservation!
",1,positive,82.2
"WARD is the best bartender. I hope that when I grow up one day I can be JUST like him. When he tells stories, they're so amazing, you'll want to hear them twice ;)
",1,positive,61.0
